,Company,Ticker,FTSE Industry Classification Benchmark sector[14]
0,3i,III,Financial Services
1,Abrdn,ABDN,Financial Services
2,Admiral Group,ADM,Non-life Insurance
3,Airtel Africa,AAF,Telecommunications
4,Anglo American plc,AAL,Mining
5,Antofagasta plc,ANTO,Mining
6,Ashtead Group,AHT,Support Services
7,Associated British Foods,ABF,Food Producers
8,AstraZeneca,AZN,Pharmaceuticals & Biotechnology
9,Auto Trader Group,AUTO,Media
10,Aviva,AV,Life Insurance
11,B&M,BME,Retailers
12,BAE Systems,BA,Aerospace & Defence
13,Barclays,BARC,Banks
14,Barratt Developments,BDEV,Household Goods & Home Construction
15,Beazley Group,BEZ,Insurance
16,Berkeley Group Holdings,BKG,Household Goods & Home Construction
17,BP,BP,Oil & Gas Producers
18,British American Tobacco,BATS,Tobacco
19,British Land,BLND,Real Estate Investment Trusts
20,BT Group,BT-A,Fixed Line Telecommunications
21,Bunzl,BNZL,Support Services
22,Burberry,BRBY,Personal Goods
23,Centrica,CNA,Utilities
24,Coca-Cola HBC,CCH,Beverages
25,Compass Group,CPG,Support Services
26,Convatec,CTEC,Health Care
27,CRH plc,CRH,Construction & Materials
28,Croda International,CRDA,Chemicals
29,DCC plc,DCC,Support Services
30,Diageo,DGE,Beverages
31,Endeavour Mining,EDV,Mining
32,Entain,ENT,Travel & Leisure
33,Experian,EXPN,Support Services
34,Foreign & Colonial Investment Trust,FCIT,Financial Services
35,Flutter Entertainment,FLTR,Travel & Leisure
36,Frasers Group,FRAS,Retail
37,Fresnillo plc,FRES,Mining
38,Glencore,GLEN,Mining
39,GSK plc,GSK,Pharmaceuticals & Biotechnology
40,Haleon,HLN,Pharmaceuticals & Biotechnology
41,Halma plc,HLMA,Electronic & Electrical Equipment
42,Hargreaves Lansdown,HL,Financial Services
43,Hiscox,HSX,Insurance
44,HSBC,HSBA,Banks
45,IHG Hotels & Resorts,IHG,Travel & Leisure
46,Imperial Brands,IMB,Tobacco
47,Informa,INF,Media
48,International Airlines Group,IAG,Travel & Leisure
49,Intertek,ITRK,Support Services
50,JD Sports,JD,General Retailers
51,Johnson Matthey,JMAT,Chemicals
52,Kingfisher plc,KGF,Retailers
53,Land Securities,LAND,Real Estate Investment Trusts
54,Legal & General,LGEN,Life Insurance
55,Lloyds Banking Group,LLOY,Banks
56,London Stock Exchange Group,LSEG,Financial Services
57,M&G,MNG,Asset Managers
58,Melrose Industries,MRO,Automobiles & Parts
59,Mondi,MNDI,Forestry & Paper
60,National Grid plc,NG,"Gas, Water & Multi-utilities"
61,NatWest Group,NWG,Banks
62,Next plc,NXT,General Retailers
63,Ocado Group,OCDO,Food & Drug Retailers
64,Pearson plc,PSON,Media
65,Pershing Square Holdings,PSH,Financial Services
66,Persimmon plc,PSN,Household Goods & Home Construction
67,Phoenix Group,PHNX,Life Insurance
68,Prudential plc,PRU,Life Insurance
69,Reckitt,RKT,Household Goods & Home Construction
70,RELX,REL,Media
71,Rentokil Initial,RTO,Support Services
72,Rightmove,RMV,Media
73,Rio Tinto,RIO,Mining
74,Rolls-Royce Holdings,RR,Aerospace & Defence
75,RS Group plc,RS1,Industrials
76,Sage Group,SGE,Software & Computer Services
77,Sainsbury's,SBRY,Food & Drug Retailers
78,Schroders,SDR,Financial Services
79,Scottish Mortgage Investment Trust,SMT,Equity Investment Instruments
80,Segro,SGRO,Real Estate Investment Trusts
81,Severn Trent,SVT,"Gas, Water & Multi-utilities"
82,Shell plc,SHEL,Oil & Gas Producers
83,DS Smith,SMDS,General Industrials
84,Smiths Group,SMIN,General Industrials
85,Smith & Nephew,SN,Health Care Equipment & Services
86,Smurfit Kappa,SKG,General Industrials
87,Spirax-Sarco Engineering,SPX,Industrial Engineering
88,SSE plc,SSE,Electricity
89,Standard Chartered,STAN,Banks
90,St. James's Place plc,STJ,Financial Services
91,Taylor Wimpey,TW,Household Goods & Home Construction
92,Tesco,TSCO,Food & Drug Retailers
93,Unilever,ULVR,Personal Goods
94,United Utilities,UU,"Gas, Water & Multi-utilities"
95,Unite Group,UTG,Real Estate
96,Vodafone Group,VOD,Mobile Telecommunications
97,Weir Group,WEIR,Industrial Goods and Services
98,Whitbread,WTB,Retail hospitality
99,WPP plc,WPP,Media
